Code,Title,Time,Location,Professor,Size,Days,Lecture
ENV S   115,Energy and the Environment,12:00pm - 12:50pm,GIRV 2112,COOK G,24 / 24,F,['n']
ENV S   115,Energy and the Environment,2:00pm - 2:50pm,GIRV 2108,WILLIAMS M L,23 / 24,F,['n']
ENV S   115,Energy and the Environment,1:00pm - 1:50pm,HSSB 1237,COOK G,24 / 24,F,['n']
ENV S   115,Energy and the Environment,6:00pm - 6:50pm,PHELP3523,SACCOMANNO V,24 / 24,R,['n']
ENV S   115,Energy and the Environment,7:00pm - 7:50pm,HSSB 2251,POWERS L C,24 / 24,R,['n']
ENV S   116,Sustainable Communities,2:00pm - 3:15pm,HSSB 1173,PELLOW D N,71 / 72,T R,['y']
ENV S   116,Sustainable Communities,7:00pm - 7:50pm,HSSB 2251,FRITZ J A,22 / 24,T,['n']
ENV S   116,Sustainable Communities,8:00 am - 8:50 am,GIRV 2120,FRITZ J A,24 / 24,R,['n']
ENV S   116,Sustainable Communities,6:00pm - 6:50pm,HSSB 4201,FRITZ J A,25 / 24,T,['n']
ENV S   120B,Advanced Environmental Toxicology,9:30 am - 10:45am,GIRV 2119,GARDNER H K,36 / 40,W F,['y']
ENV S   125A,Principles of Environmental Law,6:00pm - 8:50pm,PSYCH1902,KROP L J,62 / 60,W,['n']
ENV S   127A,Foundations of Environmental Education,12:30pm - 1:45pm,TD-W 2600,LEWIN B A,60 / 60,T R,['y']
ENV S   130B,Global Tourism and Environmental Conservation,9:30 am - 10:45am,GIRV 2129,MALDONADO J K,40 / 40,M W,['y']
ENV S   130C,Global Food Systems and Human Food Security,12:30pm - 1:45pm,NH   1111,MARTIN J A,40 / 40,M W,['y']
ENV S   135A,Principles of Environmental Planning,7:00pm - 9:50pm,BUCHN1940,WACK P W,107 / 100,T,['n']
ENV S   141,Chemistry of Global Change,9:30 am - 10:45am,GIRV 2116,CLARK J,37 / 40,W F,['y']
ENV S   144,"Form, Process And Human Use Of Rivers",12:30pm - 1:45pm,GIRV 1119,KELLER E A,17 / 24,T R,['y']
ENV S   144,"Form, Process And Human Use Of Rivers",9:00 am - 11:50am,ELLSN2609,ADAMAITIS C,6 / 12,F,['n']
ENV S   144,"Form, Process And Human Use Of Rivers",12:00pm - 2:50pm,ELLSN2609,ADAMAITIS C,11 / 12,F,['n']
ENV S   147,Air Quality and the Environment,12:30pm - 1:45pm,GIRV 2119,GARDNER H K,40 / 40,W F,['y']
ENV S   152,Applied Marine Ecology,2:00pm - 3:15pm,GIRV 1119,HOLBROOK S J,23 / 24,T R,['y']
ENV S   152,Applied Marine Ecology,2:00pm - 3:50pm,HSSB 1236,COOK D T,11 / 12,F,['n']
ENV S   152,Applied Marine Ecology,12:00pm - 1:50pm,387  1015,COOK D T,12 / 12,F,['n']
ENV S   165B,Advanced Environmental Impact Analysis,8:00 am - 9:15 am,PHELP1444,STONE D,29 / 30,T R,['y']
ENV S   174,Environmental Policy And Economics,11:00am - 12:15pm,387  1015,LEWIN R J,44 / 40,T R,['y']
ENV S   178,Politics of the Environment,5:00pm - 6:15pm,PSYCH1924,HODGES H E,36 / 40,T R,['y']
ENV S   184,Gender and the Environment,3:30pm - 4:45pm,GIRV 2129,CREMERS M H,40 / 40,T R,['y']
ENV S   189,Religion And Ecology In The Americas,9:30 am - 10:45am,HSSB 1173,TALAMANTEZ I,33 / 30,T R,['y']
ENV S   190,Colloquium On Current Topics In Environmental Studies,5:00pm - 6:15pm,LSB  1001,GEE Q P,101 / 110,W,['n']
ENV S   191,Nature and Science Education Practicum,9:00 am - 11:50am,HARDR1015,LEWIN B A,12 / 12,T,['n']
ENV S   191,Nature and Science Education Practicum,9:00 am - 11:50am,HARDR1015,LEWIN B A,12 / 12,R,['n']
ENV S   193CE,"Waste Not: New Perspectives on Reducing, Reusing, and Recycling",7:00pm - 9:50pm,PHELP3523,EGOROVA E,35 / 40,R,['n']
ENV S   193FE,FIRE IN WESTERN USA ECOSYSTEMS,2:00pm - 3:50pm,BREN 1414,D'ANTONIO C M,22 / 22,W,['n']
ENV S   193GB,Green Building Design & Operations,6:30pm - 7:45pm,GIRV 2129,KAYSEN B J,40 / 40,M W,['y']
ENV S   193PS,The Art of Public Speaking for the Environment,2:00pm - 4:50pm,BREN 4016,ALARIO C F,34 / 35,W,['n']
ENV S   193WM,Global Water Resources—Water Management and Policy,8:00 am - 9:15 am,BREN 4016,PERRONE D,10 / 30,M W,['y']
