Code,Title,Time,Location,Professor,Size,Days,Lecture
RG ST    24,Jesus in Comparative Perspective,8:00 am - 8:50 am,GIRV 2110,RUNKEVICH Y P,14 / 15,T,['n']
RG ST    24,Jesus in Comparative Perspective,12:00pm - 12:50pm,HSSB 3001E,RUNKEVICH Y P,15 / 15,W,['n']
RG ST    24,Jesus in Comparative Perspective,6:00pm - 6:50pm,GIRV 2110,ATUR R,14 / 15,R,['n']
RG ST    24,Jesus in Comparative Perspective,1:00pm - 1:50pm,HSSB 1224,ATUR R,15 / 15,R,['n']
RG ST    24,Jesus in Comparative Perspective,2:00pm - 2:50pm,LSB  1101,ATUR R,15 / 15,R,['n']
RG ST    24,Jesus in Comparative Perspective,7:00pm - 7:50pm,GIRV 2110,ATUR R,15 / 15,R,['n']
RG ST    24,Jesus in Comparative Perspective,11:00am - 11:50am,HSSB 3001E,RUNKEVICH Y P,15 / 15,W,['n']
RG ST    57B,Elementary Persian II,9:00 am - 9:50 am,HSSB 4201,RIAZI T,7 / 20,MTWR,['y']
RG ST    57E,Intermediate Persian V,11:00am - 11:50am,HSSB 3024,KEYNEJAD N P,0 / 20,MTWR,['y']
RG ST    58B,Intensive Persian II,9:00 am - 9:50 am,HSSB 2201,FEIZMOHAMMADP,16 / 20,MTWR,['y']
RG ST    65B,Introduction to Turkish Language II,10:00am - 10:50am,HSSB 2201,RAMBELLI F,3 / 20,MTWR,['y']
RG ST    65E,Intermediate Turkish Language V,11:00am - 11:50am,HSSB 2201,RAMBELLI F,1 / 20,MTWR,['y']
RG ST    70B,Elementary Kazakh II,9:00 am - 9:50 am,GIRV 2120,RAMBELLI F,2 / 20,MTWR,['y']
RG ST    70E,Intermediate Kazakh V,12:00pm - 12:50pm,HSSB 2201,RAMBELLI F,2 / 20,MTWR,['y']
RG ST    80B,Religion and Western Civilization II: Medieval,5:00pm - 6:15pm,NH   1006,WISEMAN W A,120 / 120,M W,['y']
RG ST    80B,Religion and Western Civilization II: Medieval,3:00pm - 3:50pm,GIRV 2135,CANTU K E,15 / 15,T,['n']
