Code,Title,Time,Location,Professor,Size,Days,Lecture
ES   1-  37,Intercollegiate Tennis,2:00pm - 5:00pm,RGYM CTS,THIBODEAU S,5 / 32,MTWRF,['y']
ES   1-  37,Intercollegiate Tennis,2:00pm - 4:50pm,RECENCOURT,DAVIS M J,4 / 32,MTWRF,['y']
ES   1-  38A,Elementary Tennis,9:00 am - 9:50 am,RECENCOURT,GERSTENFELD P,21 / 24,M W,['y']
ES   1-  38A,Elementary Tennis,10:00am - 10:50am,RECENCOURT,GERSTENFELD P,19 / 24,M W,['y']
ES   1-  38A,Elementary Tennis,11:00am - 11:50am,RECENCOURT,GERSTENFELD P,24 / 24,T R,['y']
ES   1-  38B,Intermediate Tennis,9:00 am - 9:50 am,RECENCOURT,GERSTENFELD P,24 / 32,T R,['y']
ES   1-  38B,Intermediate Tennis,11:00am - 11:50am,RECENCOURT,GERSTENFELD P,28 / 32,M W,['y']
ES   1-  38B,Intermediate Tennis,10:00am - 10:50am,RECENCOURT,GERSTENFELD P,23 / 32,T R,['y']
ES   1-  40A,Elementary Volleyball,9:00 am - 9:50 am,RGYM 1220,MCGOLPIN R E,31 / 40,M W,['y']
ES   1-  40A,Elementary Volleyball,9:00 am - 9:50 am,RGYM 1220,MCGOLPIN R E,31 / 40,T R,['y']
ES   1-  40B,Intermediate Volleyball,10:00am - 10:50am,RGYM 1220,MCGOLPIN R E,34 / 40,M W,['y']
ES   1-  40B,Intermediate Volleyball,10:00am - 10:50am,RGYM 1220,MCGOLPIN R E,19 / 20,T R,['y']
ES   1-  40C,Advanced Volleyball,10:00am - 10:50am,RGYM 1220,MCGOLPIN R E,17 / 20,T R,['y']
ES   1-  42,Intercollegiate Track and Field,2:00pm - 5:50pm,TRACKFIELD,T B A,9 / 50,MTWRF,['y']
ES   1-  42,Intercollegiate Track and Field,2:00pm - 5:50pm,TRACKFIELD,T B A,12 / 60,MTWRF,['y']
ES   1-  43A,Beginning Weight Training,9:00 am - 9:50 am,RECENWTRM,ERICSON M J,37 / 40,M W,['y']
ES   1-  43A,Beginning Weight Training,11:00am - 11:50am,RECENWTRM,ERICSON M J,40 / 40,M W,['y']
ES   1-  43A,Beginning Weight Training,2:00pm - 2:50pm,RECENWTRM,ORTIZ F J,40 / 40,M W,['y']
ES   1-  43A,Beginning Weight Training,10:00am - 10:50am,RECENWTRM,ORTIZ F J,39 / 40,T R,['y']
ES   1-  43B,Intermediate Weight Training,1:00pm - 1:50pm,RECENWTRM,ORTIZ F J,38 / 40,M W,['y']
ES   1-  43B,Intermediate Weight Training,9:00 am - 9:50 am,RECENWTRM,ORTIZ F J,31 / 40,T R,['y']
ES   1-  43B,Intermediate Weight Training,11:00am - 11:50am,RECENWTRM,ORTIZ F J,40 / 40,T R,['y']
ES   1-  43B,Intermediate Weight Training,10:00am - 10:50am,RGYM 1430,WILLIAMS A,28 / 40,T R,['y']
ES   1-  43B,Intermediate Weight Training,10:00am - 11:50am,RECENWTRM,SHIPLEY A O,31 / 40,F,['n']
ES   1-  43E,Weight Training for Women,8:00 am - 8:50 am,RECENWTRM,WILLIAMS A,39 / 40,T R,['y']
ES   1-  43E,Weight Training for Women,1:00pm - 1:50pm,RECENWTRM,GAGE R J,32 / 40,T R,['y']
ES   1-  43E,Weight Training for Women,2:00pm - 2:50pm,RECENWTRM,GAGE R J,37 / 40,T R,['y']
ES   1-  43E,Weight Training for Women,10:00am - 10:50am,RECENWTRM,ERICSON M J,40 / 40,M W,['y']
ES   1-  45,Intercollegiate Water Polo,T R,11:00am - 12:50pm,MEN ONLY.,7 / 30,T B A,['y']
ES   1-  45,Intercollegiate Water Polo,1:00pm - 4:00pm,SWIM POOL,T B A,13 / 55,MTWRF,['y']
ES   1-  47,Intercollegiate Volleyball,8:00 am - 11:30am,EVENTCENTR,T B A,3 / 30,MTWRF,['y']
ES   1-  47,Intercollegiate Volleyball,1:00pm - 3:50pm,RGYM 1220,T B A,5 / 40,MTWRF,['y']
ES   1-  48,Intercollegiate Soccer,12:00pm - 2:50pm,STORKFIELD,VOM STEEG T H,8 / 40,MTWRF,['y']
ES   1-  48,Intercollegiate Soccer,3:00pm - 5:50pm,STORKFIELD,STUMPF P A,11 / 40,MTWRF,['y']
