Code,Title,Time,Location,Professor,Size,Days,Lecture
ART  CS 101,Drawing and Painting,2:00pm - 3:50pm,CRST 136,T B A,12 / 12,W,['n']
ART  CS 101,Drawing and Painting,9:00 am - 12:50pm,CRST 120,T B A,7 / 9,T,['n']
ART  CS 101,Drawing and Painting,9:00 am - 12:50pm,CRST 120,T B A,4 / 9,W,['n']
ART  CS 105,Book Arts,1:00pm - 4:50pm,CRST 107,T B A,7 / 8,W,['n']
ART  CS 112,Special Topics,6:00pm - 8:50pm,CRST 136,T B A,10 / 8,W,['n']
ART  CS 112,Special Topics,1:00pm - 3:50pm,ARTS 1344,T B A,5 / 10,W,['n']
ART  CS 112,Special Topics,1:00pm - 4:50pm,CRST 120,T B A,12 / 12,F,['n']
ART  CS 125,Sculpture-Related Studies,12:30pm - 2:50pm,ARTS 0641,T B A,9 / 0,M,['n']
