Code,Title,Time,Location,Professor,Size,Days,Lecture
TMP     111,"Issues in Technology, Business, and   Society",5:00pm - 7:50pm,EMBARHALL,GREATHOUSE J,197 / 240,R,['n']
TMP     120,Fundamentals of Business Strategy,3:00pm - 4:50pm,PHELP2524,BOGART K S,38 / 40,M W,['y']
TMP     120,Fundamentals of Business Strategy,1:00pm - 2:50pm,ARTS 1356,T B A,39 / 40,M W,['y']
TMP     124,Principles of Marketing,1:00pm - 2:50pm,PHELP3519,GABRIELE G F,40 / 40,T R,['y']
TMP     124,Principles of Marketing,4:00pm - 5:50pm,PHELP2524,GABRIELE G F,38 / 40,T R,['y']
TMP     127,Understanding and Managing Technology Organizations,4:00pm - 5:50pm,PHELP2536,ZACKRISON E J,37 / 40,M W,['y']
TMP     127,Understanding and Managing Technology Organizations,4:00pm - 5:50pm,PHELP1437,MAYER C,22 / 40,T R,['y']
TMP     149,Creating a Market-Tested Business Model,3:00pm - 4:50pm,PHELP1160,SPIEVAK J S,28 / 48,T R,['y']
