Code,Title,Time,Location,Professor,Size,Days,Lecture
CHEM CS 103,Seminar,9:00 am - 10:50am,CRST 160B,T B A,12 / 16,M W F,['y']
CHEM CS 110,Introduction to the Chemical Applications of Group Theory,11:00am - 12:15pm,GIRV 1119,T B A,5 / 13,T R,['y']
