Code,Title,Time,Location,Professor,Size,Days,Lecture
PORT      2,Elementary Portuguese II,11:00am - 11:50am,GIRV 2115,MARQUES-PASCU,10 / 20,MTWR,['y']
PORT      2,Elementary Portuguese II,10:00am - 10:50am,NH   1111,MARQUES-PASCU,17 / 20,MTWR,['y']
PORT      5,Intermediate Portuguese,1:00pm - 1:50pm,PHELP1508,MARQUES-PASCU,6 / 25,MTWR,['y']
PORT     16A,Portuguese for Spanish Speakers,1:00pm - 1:50pm,HSSB 1232,LINO P S,23 / 25,MTWR,['y']
PORT    102B,Advanced Grammar and Composition,9:30 am - 10:45am,GIRV 1108,LINO P S,5 / 20,M W,['y']
PORT    106A,Survey of Brazilian Literature,2:00pm - 3:15pm,PHELP3206,OLIVER E V,10 / 13,T R,['y']
PORT    106B,Survey of Brazilian Literature,3:30pm - 4:45pm,PHELP3206,OLIVER E V,8 / 13,T R,['y']
PORT    125B,Culture and Civilization of Brazil,11:00am - 12:15pm,GIRV 1108,LINO P S,21 / 20,M W,['y']
