Code,Title,Time,Location,Professor,Size,Days,Lecture
ECE     188B,Senior Electrical Engineering Project,12:30pm - 1:45pm,PHELP1444,BEN-YAACOV I,19 / 35,M W,['y']
ECE     188B,Senior Electrical Engineering Project,1:00pm - 1:50pm,PHELP1437,Messages:,19 / 35,F,['n']
ECE     189B,Senior Computer Systems Project,12:30pm - 1:45pm,PHELP1440,ISUKAPALLI Y,32 / 35,M W,['y']
ECE     189B,Senior Computer Systems Project,1:00pm - 1:50pm,PHELP1431,INSTRUCTOR APPROVAL REQUIRED TO FINALIZE REGISTRATION.,32 / 35,F,['n']
ECE     194B,Group Studies in Electrical and Computer Engineering,3:30pm - 4:45pm,HSSB 1214,ALIZADEH M,16 / 25,T R,['y']
ECE     194B,Group Studies in Electrical and Computer Engineering,2:00pm - 2:50pm,HSSB 1214,INSTRUCTOR APPROVAL REQUIRED PRIOR TO REGISTRATION.,16 / 25,F,['n']
ECE     194N,Special Topics in Electrical and Computer Engineering,9:30 am - 10:45am,GIRV 2127,MANJUNATH B S,29 / 40,M W,['y']
ECE     194N,Special Topics in Electrical and Computer Engineering,2:00pm - 2:50pm,HSSB 3202,INSTRUCTOR APPROVAL REQUIRED PRIOR TO REGISTRATION.,14 / 20,F,['n']
ECE     194N,Special Topics in Electrical and Computer Engineering,3:00pm - 3:50pm,HSSB 3201,INSTRUCTOR APPROVAL REQUIRED PRIOR TO REGISTRATION.,15 / 20,F,['n']
ECE     194T,Group Studies in Electrical and Computer Engineering: Robot Control,2:00pm - 3:15pm,PHELP2524,VISELL Y,11 / 11,T R,['y']
ECE     194V,Special Topics in Electrical and Computer Engineering,3:30pm - 4:45pm,PHELP1440,MARDEN J R,25 / 35,M W,['y']
