Code,Title,Time,Location,Professor,Size,Days,Lecture
ASTRO     1,Basic Astronomy,2:00pm - 3:15pm,BRDA 1610,ANTONUCCI R R,156 / 20,M W,['y']
ASTRO     1,Basic Astronomy,1:00pm - 1:50pm,387  1015,LIPATOV M,26 / 30,R,['n']
ASTRO     1,Basic Astronomy,2:00pm - 2:50pm,PHELP1160,LIPATOV M,28 / 30,R,['n']
ASTRO     1,Basic Astronomy,3:00pm - 3:50pm,NH   1109,PELLEGRINO C,29 / 30,R,['n']
ASTRO     1,Basic Astronomy,4:00pm - 4:50pm,GIRV 2116,PELLEGRINO C,29 / 30,R,['n']
ASTRO     1,Basic Astronomy,10:00am - 10:50am,GIRV 2108,LIPATOV M,22 / 30,F,['n']
ASTRO     1,Basic Astronomy,11:00am - 11:50am,PHELP1448,PELLEGRINO C,22 / 30,F,['n']
ASTRO     1H,Honors Supplement to Basic Astronomy,3:30pm - 4:45pm,NH   1105,ANTONUCCI R R,11 / 26,R,['n']
