Code,Title,Time,Location,Professor,Size,Days,Lecture
SLAV      2,Elementary Russian,10:00am - 10:50am,PHELP3523,MCCLAIN K L,9 / 25,M WRF,['y']
SLAV      2,Elementary Russian,2:00pm - 2:50pm,HSSB 2251,MCCLAIN K L,18 / 25,M WRF,['y']
SLAV      5,Intermediate Russian,11:00am - 11:50am,HSSB 1215,MCLELLAN L,16 / 25,M W F,['y']
SLAV    101E,Advanced Russian,1:00pm - 1:50pm,HSSB 2201,MCLELLAN L,7 / 20,M W F,['y']
SLAV    117G,Dostoevsky,9:30 am - 10:45am,PHELP1425,MOVSESIAN H,66 / 65,T R,['y']
SLAV    130A,The Avantgarde in Russia,5:00pm - 7:50pm,ARTS 1341,SPIEKER S,23 / 25,T,['n']
SLAV    145,Introduction to Slavic Language and Linguistics,3:30pm - 4:45pm,HSSB 2201,MCCLAIN K L,22 / 20,M W,['y']
