event-id,visible,timestamp,location-long,location-lat,external-temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
9421366128,true,2009-08-10 02:00:00.000,31.80019,-24.72491,21,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421366127,true,2009-08-10 01:30:00.000,31.8017399999999,-24.7240499999999,21,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376911,true,2009-08-10 01:00:00.000,31.28914,-25.03818,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376910,true,2009-08-10 00:30:00.000,31.28931,-25.03854,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366126,true,2009-08-10 00:01:00.000,31.80319,-24.7232799999999,22,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376909,true,2009-08-10 00:00:00.000,31.28975,-25.03949,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366125,true,2009-08-09 23:30:00.000,31.8032499999999,-24.72336,21,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376908,true,2009-08-09 23:30:00.000,31.28978,-25.0400099999999,20,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376907,true,2009-08-09 23:00:00.000,31.29031,-25.0403699999999,20,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376906,true,2009-08-09 22:30:00.000,31.29175,-25.04033,21,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366124,true,2009-08-09 22:00:00.000,31.80322,-24.72276,22,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376905,true,2009-08-09 22:00:00.000,31.29445,-25.03984,21,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376904,true,2009-08-09 21:30:00.000,31.2984499999999,-25.03941,22,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376903,true,2009-08-09 21:00:00.000,31.2992199999999,-25.04025,22,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376902,true,2009-08-09 20:30:00.000,31.29951,-25.04063,23,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366123,true,2009-08-09 20:00:00.000,31.80424,-24.7224,23,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376901,true,2009-08-09 20:00:00.000,31.3000499999999,-25.04119,23,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366122,true,2009-08-09 19:30:00.000,31.80461,-24.72214,24,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376900,true,2009-08-09 19:30:00.000,31.30087,-25.0414999999999,24,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376899,true,2009-08-09 19:00:00.000,31.3013499999999,-25.0417099999999,26,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376898,true,2009-08-09 18:30:00.000,31.30228,-25.04126,27,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366121,true,2009-08-09 18:00:00.000,31.8075399999999,-24.72045,26,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376897,true,2009-08-09 18:00:00.000,31.30347,-25.0408599999999,30,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366120,true,2009-08-09 17:30:00.000,31.80797,-24.72023,27,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376896,true,2009-08-09 17:30:00.000,31.30271,-25.039,31,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366119,true,2009-08-09 17:00:00.000,31.8087799999999,-24.72007,27,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376895,true,2009-08-09 17:00:00.000,31.30067,-25.03689,34,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366118,true,2009-08-09 16:30:00.000,31.80917,-24.71985,29,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376894,true,2009-08-09 16:30:00.000,31.29839,-25.03459,35,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366117,true,2009-08-09 16:00:00.000,31.8118699999999,-24.71955,31,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376893,true,2009-08-09 16:00:00.000,31.29699,-25.0337099999999,36,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376892,true,2009-08-09 15:30:00.000,31.2948099999999,-25.0332599999999,38,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376891,true,2009-08-09 15:00:00.000,31.2944,-25.0331499999999,38,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376890,true,2009-08-09 14:30:00.000,31.2917899999999,-25.0345499999999,37,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
